issue_number,drive_file_id,filename
21,1RykRTAduX-ll7chFgOzn4wtwkYv5ARsx,Copy of BRJ-21-Jan-Mar 1998.pdf
22,1fMTcA57UTd9_aj9gmUl1UfkyAqaZGubz,Copy of BRJ-22-Apr-June 1998.pdf
23,1V2-JasRLTB5Djnh8FiuorKX4OkKln1zZ,Copy of BRJ-23-July-Sept 1998.pdf
24,1Ubk721ldzDdOxcn3eoPpDlbSXrKHWK4U,Copy of BRJ-24-Oct-Dec 1998.pdf
25,1Jj20HcMjtIdZN9uVQ5mK7kO951sPAIwB,Copy of BRJ-25-Jan-Mar 1999.pdf
26,1Xzk815MhQTgS07BGmLowvK35hzZAxuwI,Copy of BRJ-26-Apr-June 1999.pdf
27,1UqSfwLnb-uWqOyjWUkEDk7bwhaUky5Ln,Copy of BRJ-27-July-Sept 1999.pdf
28,1WUCvEjm9GtW7GxfKjOWH2xOsVVnL_6MU,Copy of BRJ-28-Oct-Dec 1999.pdf
29,1NOpiHNdIkhZev8MFcvqZOpMrk0smB43d,Copy of BRJ-29-Jan-Mar 2000.pdf
30,1zYVE23p5Oxp_ZMicnXZhVtfnc1o156o1,Copy of BRJ-30-Apr-June 2000.pdf
31,1nYoZdH-rPr5WUMfoLOJmk32IM36hEr_3,Copy of BRJ-31-July-Sept 2000.pdf
32,17q10x23y1g3Lulg1iwX4558Af1TMZXDE,Copy of BRJ-32-Oct-Dec 2000.pdf
33,1iV_KU5KwEEqQUmg2HlMbRpmb1flvbX6k,Copy of BRJ-33-July-Sept 2001.pdf
34,1uMT87ezo0h85wyldrU-BrpTEwviQO25O,Copy of BRJ-34-Oct-Dec 2001.pdf
35,1NWxKchEl4mqZBy4RmMGXsOVa3bz1AOjr,Copy of BRJ-35-Autumn 2002.pdf
36,1utZdETJXJvOckfno-adBg4snjFCqSXUO,Copy of BRJ-36-Winter 2003.pdf
37,1Pv26nYmvlbbeZ9tgEQGCGn5QU7ecH4SJ,Copy of BRJ-37-Spring 2003.pdf
38,1dFMW_osmYR51gh2hC0L2eR66fe6sUijD,Copy of BRJ-38-Summer 2003.pdf
39,17nczqfPVJ77G6POCBz1KOLaYbYXBWwu8,Copy of BRJ-39-Autumn-Winter 2003-2004.pdf
40,1TTO2ZWnXMof9ML_DCH1uzzukHGupyrLO,Copy of BRJ-40-Spring 2004.pdf
41,16cyP4cxgVQhX48K9gMUlvdGxNGbZPhNR,Copy of BRJ-41-Autumn 2004.pdf
42,1P81svgmv9LAF0pT3Uizt4AuQN6OGx8Jx,Copy of BRJ-42-Spring 2005.pdf
43,1l9B5P8DNcdxXJ3mCR2geGrTdmNwgUdrF,Copy of BRJ-43-Summer 2005.pdf
44,1ZCQBCKvWEPVEQwLfiLxEFlMuIX-Wjx_H,Copy of BRJ-44-Winter 2005.pdf
45,1Qjjhdk4HusyBPd__-J4ZwNdasLSDUMhE,Copy of BRJ-45-Summer 2006.pdf
46,19U3SC9_OGAU0zgZLK0xnogdqbtqB9ooW,Copy of BRJ-46-Winter 2007.pdf
47,18pDQ0Kgm6Sd1AAbb8fH4a8jPh-iErF7V,Copy of BRJ-47-Summer 2007.pdf
48,18Jz3rqJL7bGxiJhpEEduyO9JKPfAzE9M,Copy of BRJ-48-Winter 2008.pdf
49,1wK6HWQRrg67R1t2ew6zu3LplvD6ikiSx,Copy of BRJ-49-Summer 2008.pdf
50,1iglBeeEmu0EzSkLEE1tWkUzfvMkC96Nu,Copy of BRJ-50-Winter-Spring-2009.pdf
51,1sreQIWdFtkuM8HEHg2l0yKm5SCyAZlAg,Copy of BRJ-51-Autumn-Winter-2009.pdf
52,1zWPBH8wATS5UluDkB5Kw6vzeC_mn9j6I,Copy of BRJ-52-Spring-Summer-2010.pdf
53,12LBPWoqnCaXeWVRol_0hvRQZY7iF50yP,Copy of BRJ-53-Fall-Winter-2010.pdf
54,190khUoCnV7si1kq1t8Nz3-9f4L61UxIf,Copy of BRJ-54-Spring-Summer-2011.pdf
55,1ZkgwfnjgmPGPMaLWxCpn3-8ODO2MN8rY,Copy of BRJ-55-Autumn-Winter-2011.pdf
56,1-bHPfiBv0QK_6hgn3DUKvLnGfvyXtWmx,Copy of BRJ-56-Spring-Summer-2012.pdf
57,1nqXIOyb_FQPKWxsEJJrHLIRF_TRsOL1x,Copy of BRJ-57-Autumn-Winter-2013.pdf
58,1WGVV1AK4CSOQ4RsDrCA-bYcy-dZGj8K3,Copy of BRJ-58-Spring-Summer-2013.pdf
59,1YZcg540_JyDYm_edFiHxSNFkatYN-OUZ,Copy of BRJ-59-Autumn-Winter-2014.pdf
60,1ojB7ravcI3ZGGdmEUET7gsMNxNnI2hPb,Copy of BRJ-60-Spring-Summer-2014.pdf
61,1NtDMgMCcSA1i6iqSUJZhqu3NqAaRzB70,Copy of BRJ-61-Autumn-Winter-2015.pdf
62,1iajEzNA3NirOg0QpE3FLdV4gwQj_OX9J,Copy of BRJ-62-Spring-Summer-2015.pdf
63,17eFrJHbSyDfSlAGjy0BNT57ebyP5eYNP,Copy of BRJ-63-Autumn-Winter-2016.pdf
64,1FdNzhFg3fLHRA2WhDowF-9xe7SU6PNB1,Copy of BRJ-64-Spring-Summer-2016.pdf
65,1HyGy_gc64e-ONTnq1HbZt4XyNjzmahbD,Copy of BRJ-65-Autumn-Winter-2017.pdf
66,1gnEnC8B-x-Kn7ItgL4diUD7J8g4oGQte,Copy of BRJ-66-Spring-Summer-2017.pdf
67,10zhy8EYVuiVLVaWkIQWMz5h2CVECBq6L,Copy of BRJ-67-Autumn-Winter-2018.pdf
68,1A6gt8TR2VvA-w58oSdK930Qw_pNa3bp9,Copy of BRJ-68-Autumn-Winter-2019.pdf
69,1qe4tA4V2ze9fxmTLQ7kJ4Zh_hPBK4mi6,Copy of BRJ-69-Spring-Summer-2019.pdf
70,1akBxJMU3tUjywNN3rRnR9fjLVr9sw9nY,Copy of BRJ-70-Winter-2019-2020.pdf
71,1z4dtyEHroubmxuvwSu28vhRx2yqqe1II,Copy of BRJ-71-Autumn-2020.pdf
72,149Oip2WhCFU6BDtQtyzMg4QBfB8s6kvv,Copy of BRJ-72-Spring-Summer-2021.pdf
73,1mb84J-QN_orNxZ9VGQ8JTVa1pH0xal36,Copy of BRJ-73-January-2022.pdf
74,1xHHadNIykuc23qOy0oqB37e_uxLfDJER,Copy of BRJ-74-August-2022.pdf
75,1nTOqJS2kqhZopRD3PD__aWrBjSWGMIkS,Copy of BRJ-75-February-2023.pdf
